Lokalitet;Lengdegruppe;n (totalt);Antall tomme mager;Zooplankton;Eurycercus;Asellus;Damsnegl;Tricopt.;Other insects;9-p stick.;Coregonid;Perch;Pike;SUM
Vaggatem;ABBOR 10-15 cm;80;53;5,2;65,7;12,9;0,1;3,3;9,8;3,1;0,0;0,0;0,0;100,0
Vaggatem;ABBOR 15-20 cm;227;117;5,7;41,6;17,8;0,3;3,1;2,8;19,1;4,9;4,6;0,0;100,0
Vaggatem;ABBOR 20-25 cm;138;73;1,0;11,3;6,7;1,4;10,0;0,4;50,8;0,0;18,3;0,0;100,0
Vaggatem;ABBOR 25-30 cm;97;43;0,0;0,3;3,2;7,9;4,5;0,1;48,8;20,7;9,1;5,4;100,0
Vaggatem;ABBOR >30cm;20;8;0,0;0,0;1,7;10,1;7,9;0,0;28,1;32,1;0,0;20,1;100,0
Skrukkebukta;ABBOR 10-15 cm;31;15;2,1;46,3;0,0;0,0;10,9;22,9;17,9;0,0;0,0;0,0;100,0
Skrukkebukta;ABBOR 15-20 cm;165;108;0,3;3,6;0,0;0,0;51,7;22,4;22,1;0,0;0,0;0,0;100,0
Skrukkebukta;ABBOR 20-25 cm;59;32;0,0;0,0;0,0;0,0;45,1;0,8;32,4;21,6;0,0;0,0;100,0
Skrukkebukta;ABBOR 25-30 cm;46;19;0,0;0,0;0,0;0,0;0,1;0,3;31,6;68,0;0,0;0,0;100,0
Skrukkebukta;ABBOR >30cm;29;12;0,0;0,0;0,0;0,0;2,4;0,6;0,0;55,4;41,6;0,0;100,0
