Lokalitet;Lengdegruppe;n (totalt);Antall tomme mager;Zooplankton;Eurycercus;Asellus;Damsnegl;Tricopt.;Other insects;Fisk uid;9-p stick.;Coregonid;Perch;Pike;Uid & Annet;SUM
Vaggatem;ABBOR 10-15 cm;80;53;5,13368984;65,45454545;12,8342246;0,106951872;3,315508021;9,732620321;3,101604278;0;0;0;0;0;99,67914439
Vaggatem;ABBOR 15-20 cm;227;117;5,685279188;41,44162437;17,68527919;0,304568528;3,126903553;2,822335025;16,48730964;8;2,030456853;1,92893401;0;0,487309645;100
Vaggatem;ABBOR 20-25 cm;138;73;0,94970102;10,76327823;6,401688357;1,301442139;9,567358424;0,422089342;39,35983116;19,48645797;0;7,034822371;0;2,954625396;98,24129441
Vaggatem;ABBOR 25-30 cm;97;43;0,034843206;0,31358885;3,066202091;7,665505226;4,320557491;0,104529617;26,62020906;31,67247387;13,41463415;5,923344948;3,484320557;1,637630662;98,25783972
Vaggatem;ABBOR >30cm;20;8;0;0;1,706036745;10,10498688;7,874015748;0;27,55905512;18,37270341;20,99737533;0;13,12335958;0,262467192;100
Skrukkebukta;ABBOR 10-15 cm;31;15;2,052785924;46,33431085;0;0;10,85043988;22,87390029;17,88856305;0;0;0;0;0;100
Skrukkebukta;ABBOR 15-20 cm;165;108;0,253678336;3,551496702;0;0;51,19228818;22,12075089;17,75748351;4,058853374;0;0;0;1,065449011;100
Skrukkebukta;ABBOR 20-25 cm;59;32;0;0;0;0;42,32105629;0,764419736;33,35649757;10,42390549;6,949270327;0;0;5,976372481;99,79152189
Skrukkebukta;ABBOR 25-30 cm;46;19;0;0;0;0;0,055679287;0,278396437;63,47438753;11,13585746;23,94209354;0;0;1,113585746;100
Skrukkebukta;ABBOR >30cm;29;12;0;0;0;0;2,380952381;0,595238095;71,42857143;0;14,28571429;10,71428571;0;0,595238095;100
